type,title,ingredients,oven_temp,directions,notes_on_texture,link,equipment_needed,flour_ratio,sugar_ratio,Butter_ratio,cleaned_texture,texture_category
Brownie,Brownies (Love and Lemons),"1 1/2 cups granulated sugar, 3/4 cup all-purpose flour, 2/3 cup cocoa powder (sifted), 1/2 cup powdered sugar (sifted), 1/2 cup dark chocolate chips, 3/4 tsp sea salt, 2 large eggs, 1/2 cup canola oil or extra-virgin olive oil, 2 tbsp water, 1/2 tsp vanilla",325 F,"Preheat oven to 325¬∞F. Spray an 8x8 baking dish with cooking spray and line with parchment paper. Combine dry ingredients in a medium bowl. Whisk eggs, oil, water, and vanilla in a large bowl. Add dry mix to wet mix and stir until combined. Pour batter into the pan and smooth the top. Bake for 40-48 minutes. Cool completely before slicing.","Thick and fudgy, slightly underbaked texture preferred.",https://www.loveandlemons.com/Brownies-recipe/,"8x8 baking dish, cooking spray, parchment paper, mixing bowls, spatula",3,9,4,Thick and fudgy slightly underbaked texture preferred,"gooey,light and fluffy,creamy"
Brownie,Cocoa Brownies (Inspired Taste),"10 tbsp unsalted butter, 1 1/4 cups granulated sugar, 3/4 cup + 2 tbsp unsweetened cocoa powder, 1 tsp vanilla extract, 1/4 tsp fine sea salt, 2 large cold eggs, 1/2 cup all-purpose flour, 2/3 cup walnuts, pecans, or chocolate chips (optional)",325 F,"Preheat oven to 325¬∞F. Line an 8-inch square baking pan with parchment paper. Melt butter in a saucepan, stir in sugar, cocoa, vanilla, and salt. Let cool, then add eggs. Stir in flour, then nuts or chocolate chips. Bake for 20-30 minutes. Cool completely before cutting.","Fudgy and moist in the center, slightly underbaked for a rich texture.",https://www.inspiredtaste.net/24412/cocoa-Brownies-recipe/,"8-inch square pan, parchment paper, saucepan, mixing bowl, spatula",1,5,2,Fudgy and moist in the center slightly underbaked for a rich texture,"gooey,light and fluffy,moist,creamy,rich"
Brownie,Best Brownies (AllRecipes),"1/2 cup butter, 1 cup white sugar, 2 eggs, 1 tsp vanilla extract, 1/3 cup unsweetened cocoa powder, 1/2 cup all-purpose flour, 1/4 tsp salt, 1/4 tsp baking powder, 3 tbsp butter (for frosting), 3 tbsp cocoa powder (for frosting), 1 tbsp honey (for frosting), 1 tsp vanilla (for frosting), 1 cup confectioners' sugar (for frosting)",350 F,"Preheat oven to 350¬∞F. Grease and flour an 8-inch square pan. Melt butter in a saucepan, stir in sugar, eggs, vanilla, cocoa, flour, salt, and baking powder. Bake for 25-30 minutes. Frost Brownies with butter, cocoa, honey, vanilla, and sugar mix while warm.","Rich and fudgy, with a warm, smooth frosting.",https://www.allrecipes.com/recipe/10549/best-Brownies/,"8-inch square pan, saucepan, mixing bowl, spatula",1,2,1,Rich and fudgy with a warm smooth frosting,"gooey,creamy"
Brownie,The Best Cocoa Fudge Brownies (Baker by Nature),"1 cup all-purpose flour, 1/2 tsp baking powder, 1/2 tsp salt, 1/2 cup unsweetened cocoa powder, 1 tsp espresso powder (optional), 3/4 cup unsalted butter, 2 tbsp oil, 1 1/3 cups granulated sugar, 2 large eggs, 1 egg yolk, 3/4 cup chocolate chips",350 F,"Preheat oven to 350¬∞F. Line a 9x9 pan with parchment. Sift flour, baking powder, salt, cocoa, espresso. Heat butter, oil, and sugar, add to eggs and mix. Add dry ingredients and chocolate chips. Bake 30 minutes. Cool before cutting.","Fudgy, with firm edges and a shiny, cracked top.",https://bakerbynature.com/the-best-cocoa-fudge-Brownies/,"9x9 pan, parchment paper, saucepan, mixing bowls, spatula",4,5,3,Fudgy with firm edges and a shiny cracked top,"firm,creamy"
Brownie,Chewy Brownies (Handle the Heat),"5 tbsp unsalted butter, 1 1/4 cups granulated sugar, 2 large eggs + 1 egg yolk (cold), 1 tsp vanilla extract, 1/3 cup vegetable oil, 3/4 cup cocoa powder, 1/2 cup all-purpose flour, 1 tbsp cornstarch, 1/8 tsp baking soda, 1/4 tsp salt, 3/4 cup semisweet chocolate chips",325 F,"Preheat oven to 325¬∞F. Microwave butter and sugar. Whisk eggs and vanilla. Stir in oil, cocoa powder, flour, cornstarch, and chocolate chips. Bake 30 minutes. Cool completely.","Gooey when warm, chewy at room temperature, and fudgy when chilled.",https://handletheheat.com/chewy-Brownies/,"8x8 pan, microwave-safe bowl, spatula, foil or parchment paper, nonstick spray",3,5,2,Gooey when warm chewy at room temperature and fudgy when chilled,"gooey,chewy,creamy"
Brownie,Brownies (Preppy Kitchen),"1 cup unsalted butter, 2 cups granulated sugar, 3/4 cup unsweetened cocoa powder, 3 large eggs, 1 tbsp vanilla extract, 1 tsp salt, 1 cup all-purpose flour, 1 1/2 cups semisweet chocolate chips",350 F,"Preheat oven to 350¬∞F. Grease and line an 8x8-inch pan with parchment paper. Melt butter in the microwave, then whisk in sugar and cocoa. Add eggs, vanilla, and salt, mix well. Fold in flour and chocolate chips. Spread batter in pan and bake for 35-40 minutes. Let cool completely before slicing.","Fudgy or cakey depending on doneness, moist crumbs for fudgy, fewer crumbs for cakey.",https://preppykitchen.com/Brownie-recipe/,"8-inch square pan, microwave-safe bowl, spatula, mixing bowls, parchment paper",1,2,1,Fudgy or cakey depending on doneness moist crumbs for fudgy fewer crumbs for cakey,"gooey,cakey,moist,creamy"
Brownie,Fudgy Brownies (Baran Bakery),"3/4 cup salted butter, 1 cup semi-sweet chocolate chips, 1 cup granulated sugar, 1/2 cup light brown sugar, 1/2 cup Dutch-process cocoa powder, 3 large eggs, 1 tsp vanilla extract, 3/4 cup all-purpose flour, 1/2 tsp fine sea salt, pinch of sea salt flakes for topping",350 F,"Preheat oven to 350¬∞F convection (or 325¬∞F conventional). Grease and line an 8x8 pan. Microwave butter and chocolate until melted. In a large bowl, whisk together sugars, cocoa, vanilla, and eggs until smooth. Add melted chocolate mixture, whisk until combined. Add flour and salt, whisk until just combined. Spread batter into pan and bake for 40-45 minutes. Cool for 30-60 minutes, top with sea salt flakes.","Thin, crackly top with a fudgy center.",https://baranbakery.com/fudgy-Brownies/,"8-inch square pan, heatproof bowl, mixing bowls, whisk, spatula, parchment paper",2,4,3,Thin crackly top with a fudgy center,"gooey,creamy"
Brownie,One-Bowl Brownies (Two Peas and Their Pod),"1 cup butter (melted), 1 cup granulated sugar, 1 cup dark brown sugar (packed), 4 large eggs, 1 tbsp vanilla extract, 1 cup all-purpose flour, 1 cup Dutch-processed or unsweetened cocoa powder, 1 tsp espresso powder (optional), 1 tsp kosher salt, 1 1/4 cups chopped chocolate",350 F,"Preheat oven to 350¬∞F. Spray a 9x13 pan with nonstick spray and line with parchment paper. In a large mixing bowl, whisk together melted butter, sugars, eggs, and vanilla. Sift in flour and cocoa, add salt and espresso powder. Stir until just combined. Fold in 1 cup chopped chocolate. Spread batter into pan, sprinkle remaining chocolate on top. Bake for 25-30 minutes. Let cool before cutting.",Chewy with a crispy edge and set texture as it cools.,https://www.twopeasandtheirpod.com/one-bowl-Brownie-recipe/,"9x13 baking pan, parchment paper, mixing bowl, whisk, spatula",1,2,1,Chewy with a crispy edge and set texture as it cools,"firm,crispy,creamy"
Brownie,Best Brownies (Once Upon a Chef),"2 sticks unsalted butter, 8 oz bittersweet or semisweet chocolate, 4 large eggs, 1/2 tsp salt, 1 cup granulated sugar, 1 cup dark brown sugar (packed), 2 tsp vanilla extract, 1 cup all-purpose flour",350 F,"Preheat oven to 350¬∞F. Line a 13x9 pan with parchment paper and grease with butter or nonstick spray. Melt butter and chocolate in microwave, whisk until smooth. In a large bowl, whisk eggs, salt, sugars, and vanilla. Add chocolate-butter mixture, whisk until smooth, then whisk in flour. Pour into prepared pan, bake for 45 minutes. Cool completely before cutting.","Shiny crust with a firm but moist interior, perfect for freezing.",https://www.onceuponachef.com/recipes/best-Brownie-recipe.html,"13x9-inch pan, parchment paper, microwave-safe bowl, whisk, mixing bowls",1,2,2,Shiny crust with a firm but moist interior perfect for freezing,"gooey,firm,moist,creamy"
Brownie,Easy Chocolate Brownies (RecipeTin Eats),"1 3/4 sticks unsalted butter, 1 1/4 cups dark chocolate chips, 1 cup brown sugar (loosely packed), 3 eggs, 1 tsp vanilla extract, 1/2 cup plain flour, 1/4 cup cocoa powder, pinch of salt, 6 oz dark chocolate bar (optional), 1.5 cups walnuts (optional)",350 F,"Preheat oven to 350¬∞F. Spray an 8-inch square pan with oil and line with parchment paper. Melt butter and chocolate chips in microwave, stir until smooth. Add sugar and vanilla, mix well, then add eggs and stir until smooth. Add flour, cocoa, and salt, mix until smooth. Stir in chopped chocolate, pour into pan. Bake for 24-32 minutes, depending on desired texture. Rest 10 minutes before cutting.","Gooey, fudgy, or cake-like depending on bake time.",https://www.recipetineats.com/easy-chocolate-Brownies/#wprm-recipe-container-24736,"8-inch square pan, microwave-safe bowl, whisk, spatula, parchment paper",1,2,2,Gooey fudgy or cakelike depending on bake time,"gooey,creamy"
Brownie,Seriously Fudgy Homemade Brownies (Sally's Baking Addiction),"3/4 cup unsalted butter, 4 oz semi-sweet chocolate bar (divided), 2 cups granulated sugar, 3 large eggs, 2 tsp vanilla extract, 1 cup cocoa powder, 1 cup all-purpose flour, 1 tsp salt, 1 1/4 cups semi-sweet chocolate chips (optional)",350 F,"Preheat oven to 350¬∞F. Grease or line a 9x13 pan. Melt butter and half the chopped chocolate in microwave. Whisk in sugar, then eggs and vanilla. Add cocoa powder, flour, salt, remaining chocolate, and chocolate chips. Fold everything together. Spread batter in pan and bake for 30-32 minutes, until a toothpick comes out with moist crumbs. Cool completely before cutting.",Super fudgy with moist crumbs when baked to perfection.,https://sallysbakingaddiction.com/seriously-fudgy-homemade-Brownies/,"9x13 pan, microwave-safe bowl, whisk, spatula, parchment or foil",1,4,3,Super fudgy with moist crumbs when baked to perfection,"gooey,moist,creamy"
Brownie,Dark Chocolate Brownies (The Pioneer Woman),"1 cup butter, 5 oz unsweetened chocolate, 1/4 cup unsweetened cocoa powder, 2 cups sugar, 1 tbsp vanilla, 3 large eggs, 1 1/4 cups flour, 3/4 cup semi-sweet chocolate chips, powdered sugar for sifting",350 F,"Preheat oven to 350¬∞F. Melt butter and unsweetened chocolate in a saucepan, whisk in cocoa powder. Remove from heat, cool for 5 minutes. Stir in sugar and vanilla, then eggs one at a time. Stir in flour until halfway combined, then fold in chocolate chips. Spread batter in a greased 8x8 or 9x13 pan. Bake for 40-50 minutes. Cool completely before cutting and sprinkling with powdered sugar.","Thick and rich Brownies, best served after cooling for several hours or the next day.",https://www.thepioneerwoman.com/food-cooking/recipes/a11388/dark-chocolate-Brownies/,"8x8 or 9x13 baking pan, saucepan, whisk, spatula",5,8,4,Thick and rich Brownies best served after cooling for several hours or the next day,"gooey,creamy,rich"
Brownie,Chewy Brownies (The Kitchen Magpie),"3/4 cup salted butter, 1 1/2 cups white sugar, 3/4 cup cocoa powder, 3 large eggs, 1 tsp vanilla, 2/3 cup chocolate chips (optional), 3/4 cup all-purpose flour",350 F,"Preheat oven to 350¬∞F. Line a 9x9 pan with parchment paper. Melt butter in a medium pot over medium heat, remove from heat and stir in sugar until dissolved. Stir in cocoa powder, then beat in eggs and vanilla. Add chocolate chips (optional), then stir in flour just until combined. Bake for 30-40 minutes, until Brownies pull away from edges. Cool before cutting.",Chewy and fudgy with optional chocolate chips for extra richness.,https://www.thekitchenmagpie.com/the-best-chewy-Brownies-recipe-aka-chocolate-chewy-wonders/,"9x9 pan, medium pot, parchment paper, spatula",3,6,3,Chewy and fudgy with optional chocolate chips for extra richness,"gooey,creamy,rich"
